Concurso,Data Sorteio,Bola1 sorteio 1,Bola2 sorteio 1,Bola3 sorteio 1,Bola4 Sorteio 1,Bola5 sorteio 1,Bola6 sorteio 1,Ganhadores 6 acertos  Sorteio 1,Cidade / UF,Rateio 6 acertos  Sorteio1,Ganhadores 5   acertos Sorteio1,Rateio 5 acertos Sorteio1,Ganhadores 4 acertos Sorteio1,Rateio 4 acertos Sorteio1,Ganhadores 3 acertos Sorteio1,Rateio 3 acertos Sorteio1,Bola1 sorteio 2,Bola2 sorteio 2,Bola3 sorteio 2,Bola4 Sorteio 2,Bola5 sorteio 2,Bola6 sorteio 2,Ganhadores 6 acertos Sorteio2,Rateio 6 acertos  Sorteio 2,Ganhadores 5 acertos Sorteio2,Rateio 5 acertos Sorteio 2,Ganhadores 4 acertos Sorteio2,Rateio 4 acertos Sorteio 2,Ganhadores 3 acertos Sorteio2,Rateio 3 acertos Sorteio 2, Acumulado 6 acertos sorteio 1,Arrecadacao Total,Estimativa Prêmio,Acumulado Sorteio Especial Dupla de Páscoa,Observação
2241,29/06/2021,7,14,18,21,22,50,0,,"R$0,00",25,"R$5.379,53",1504,"R$102,19",29801,"R$2,57",2,5,25,26,30,48,0,"R$0,00",42,"R$2.881,89",1612,"R$95,34",29902,"R$2,57",Sim,"R$4.431.970,00","R$8.700.000,00","R$3.259.284,17",
2242,01/07/2021,19,21,27,33,38,40,0,,"R$0,00",25,"R$5.258,17",1346,"R$111,61",27431,"R$2,73",3,13,16,25,41,48,0,"R$0,00",26,"R$4.550,34",1816,"R$82,72",31027,"R$2,42",Sim,"R$4.331.990,00","R$9.200.000,00","R$3.469.610,97",
2243,03/07/2021,20,25,37,41,46,50,0,,"R$0,00",31,"R$5.180,87",1707,"R$107,52",33264,"R$2,75",2,6,19,23,27,35,0,"R$0,00",46,"R$3.142,31",2385,"R$76,96",40104,"R$2,28",Sim,"R$5.292.695,00","R$10.000.000,00","R$3.726.581,92",
2244,06/07/2021,3,5,9,24,26,48,0,,"R$0,00",71,"R$2.759,26",2939,"R$76,18",49493,"R$2,26",12,23,25,42,46,47,0,"R$0,00",44,"R$4.007,20",2508,"R$89,27",46309,"R$2,41",Sim,"R$6.456.012,50","R$11.000.000,00","R$4.040.034,26",
2245,08/07/2021,9,11,13,38,40,48,0,,"R$0,00",32,"R$6.247,15",1949,"R$117,22",40104,"R$2,84",2,8,10,14,37,41,0,"R$0,00",39,"R$4.613,28",2409,"R$94,83",43386,"R$2,63",Sim,"R$6.587.870,00","R$12.000.000,00","R$4.359.888,54",
2246,10/07/2021,7,12,16,27,43,47,0,ITAPEMA/SC,"R$0,00",60,"R$3.218,44",2858,"R$77,21",48475,"R$2,27",9,10,17,28,44,47,1,"R$212.417,21",28,"R$6.207,00",2362,"R$93,43",44836,"R$2,46",Sim,"R$6.363.702,50","R$12.200.000,00","R$4.668.859,05",
2247,13/07/2021,5,7,27,35,36,47,0,,"R$0,00",57,"R$3.722,28",2866,"R$84,60",53292,"R$2,27",7,18,31,35,36,50,0,"R$0,00",40,"R$4.773,82",2582,"R$93,91",50229,"R$2,41",Sim,"R$6.991.912,50","R$13.200.000,00","R$5.008.330,41",
2248,15/07/2021,31,34,39,44,47,50,0,,"R$0,00",44,"R$5.189,22",2365,"R$110,33",46393,"R$2,81",7,17,19,30,34,48,0,"R$0,00",51,"R$4.029,28",2591,"R$100,71",50410,"R$2,58",Sim,"R$7.524.327,50","R$14.200.000,00","R$5.373.651,60",
2249,17/07/2021,10,15,16,18,38,44,0,,"R$0,00",31,"R$7.706,11",2401,"R$113,70",47777,"R$2,85",1,2,9,11,23,30,0,"R$0,00",62,"R$3.467,75",2979,"R$91,64",54040,"R$2,52",Sim,"R$7.872.445,00","R$15.500.000,00","R$5.755.874,56",
2250,20/07/2021,16,22,29,30,32,33,0,,"R$0,00",53,"R$6.895,54",3684,"R$113,37",72817,"R$2,86",15,18,30,39,42,50,0,"R$0,00",46,"R$7.150,37",3962,"R$105,41",79473,"R$2,62",Sim,"R$12.043.610,00","R$17.000.000,00","R$6.340.615,94",
2251,22/07/2021,10,35,40,42,43,50,1,PARACATU/MG,"R$17.058.282,90",84,"R$4.626,25",4603,"R$96,48",87628,"R$2,53",4,11,12,20,35,48,0,"R$0,00",98,"R$3.568,82",4767,"R$93,16",85891,"R$2,58",Não,"R$12.806.220,00","R$600.000,00","R$6.962.383,57",
2252,24/07/2021,4,6,15,19,21,50,0,,"R$0,00",20,"R$2.801,51",857,"R$74,71",13658,"R$2,34",4,11,16,28,39,49,0,"R$0,00",11,"R$4.584,28",570,"R$112,34",11848,"R$2,70",Sim,"R$1.846.437,50","R$900.000,00","R$7.052.031,82",
2253,27/07/2021,5,8,26,27,30,43,0,,"R$0,00",9,"R$5.700,71",602,"R$97,40",12104,"R$2,42",6,17,20,24,30,47,0,"R$0,00",6,"R$7.695,95",528,"R$111,05",10452,"R$2,80",Sim,"R$1.690.767,50","R$1.000.000,00","R$7.134.122,00",
2254,29/07/2021,12,23,24,27,38,46,0,,"R$0,00",9,"R$5.883,85",649,"R$93,25",11755,"R$2,57",18,20,22,23,28,41,0,"R$0,00",8,"R$5.957,40",414,"R$146,18",9896,"R$3,05",Sim,"R$1.745.085,00","R$1.300.000,00","R$7.218.849,39",
2255,31/07/2021,9,17,36,43,47,49,0,,"R$0,00",19,"R$3.133,09",949,"R$71,68",14975,"R$2,27",9,15,19,26,40,41,0,"R$0,00",10,"R$5.357,58",534,"R$127,40",11080,"R$3,07",Sim,"R$1.961.730,00","R$1.500.000,00","R$7.314.095,34",
2256,03/08/2021,10,17,21,24,30,48,1,RIO CLARO/SP,"R$1.499.281,30",19,"R$2.992,20",657,"R$98,89",12280,"R$2,64",9,22,25,37,41,50,0,"R$0,00",10,"R$5.116,65",708,"R$91,77",12445,"R$2,61",Não,"R$1.873.510,00","R$200.000,00","R$7.405.058,02",
2257,05/08/2021,11,16,35,40,44,45,0,,"R$0,00",6,"R$7.023,57",375,"R$128,43",7591,"R$3,17",3,4,12,32,37,49,0,"R$0,00",4,"R$9.481,81",426,"R$113,05",9026,"R$2,66",Sim,"R$1.388.742,50","R$400.000,00","R$7.472.484,28",
2258,07/08/2021,3,10,21,27,30,48,0,,"R$0,00",15,"R$3.049,04",693,"R$75,42",10467,"R$2,49",5,11,13,17,45,46,0,"R$0,00",15,"R$2.744,14",775,"R$67,44",12965,"R$2,01",Sim,"R$1.507.187,50","R$600.000,00","R$7.545.661,27",
2259,10/08/2021,2,9,14,34,35,49,0,,"R$0,00",14,"R$2.930,96",518,"R$90,53",8959,"R$2,61",16,29,45,46,49,50,0,"R$0,00",7,"R$5.275,73",494,"R$94,92",8234,"R$2,84",Sim,"R$1.352.230,00","R$700.000,00","R$7.611.314,76",
2260,12/08/2021,18,22,25,29,32,34,0,,"R$0,00",8,"R$5.015,69",393,"R$116,68",7874,"R$2,91",14,21,26,27,43,49,0,"R$0,00",14,"R$2.579,50",498,"R$92,08",8788,"R$2,60",Sim,"R$1.322.310,00","R$900.000,00","R$7.675.515,58",
2261,14/08/2021,4,23,25,26,33,46,0,,"R$0,00",9,"R$5.043,06",599,"R$86,59",10719,"R$2,41",11,22,32,37,41,48,0,"R$0,00",9,"R$4.538,76",375,"R$138,32",7972,"R$3,25",Sim,"R$1.495.717,50","R$1.100.000,00","R$7.748.135,68",
2262,17/08/2021,9,18,23,27,31,33,0,,"R$0,00",9,"R$4.986,85",491,"R$104,46",10291,"R$2,49",1,2,14,36,37,40,0,"R$0,00",14,"R$2.885,25",366,"R$140,14",7514,"R$3,41",Sim,"R$1.479.045,00","R$1.300.000,00","R$7.819.946,27",
2263,19/08/2021,6,7,8,22,26,30,0,,"R$0,00",8,"R$5.580,52",601,"R$84,89",10266,"R$2,48",1,5,14,19,32,34,0,"R$0,00",12,"R$3.348,31",467,"R$109,25",9365,"R$2,72",Sim,"R$1.471.220,00","R$1.500.000,00","R$7.891.376,98",
2264,21/08/2021,16,30,31,45,46,47,0,,"R$0,00",8,"R$6.065,30",383,"R$144,78",8429,"R$3,28",8,25,27,39,41,45,0,"R$0,00",18,"R$2.426,12",528,"R$105,02",10401,"R$2,66",Sim,"R$1.599.025,00","R$1.700.000,00","R$7.969.012,87",
2265,24/08/2021,14,22,37,41,45,50,0,,"R$0,00",13,"R$3.841,09",718,"R$79,48",11242,"R$2,53",3,12,25,44,46,48,0,"R$0,00",13,"R$3.456,98",696,"R$81,99",12283,"R$2,32",Sim,"R$1.645.550,00","R$1.900.000,00","R$8.048.907,64",
2266,26/08/2021,5,32,34,38,44,46,0,,"R$0,00",6,"R$8.608,42",542,"R$108,90",10966,"R$2,69",8,15,25,26,39,40,0,"R$0,00",6,"R$7.747,58",466,"R$126,67",9907,"R$2,97",Sim,"R$1.702.110,00","R$2.100.000,00","R$8.131.548,51",
2267,28/08/2021,3,6,9,21,39,48,0,,"R$0,00",12,"R$4.920,57",759,"R$88,90",13988,"R$2,41",1,9,14,18,19,21,0,"R$0,00",21,"R$2.530,58",750,"R$89,97",13712,"R$2,46",Sim,"R$1.945.850,00","R$2.400.000,00","R$8.226.023,46",
2268,31/08/2021,15,17,23,29,31,34,0,,"R$0,00",20,"R$3.055,67",798,"R$87,52",13081,"R$2,66",3,23,29,32,36,47,0,"R$0,00",15,"R$3.666,81",735,"R$95,02",13682,"R$2,55",Sim,"R$2.013.952,50","R$2.700.000,00","R$8.323.804,90",
2269,02/09/2021,5,25,28,29,36,44,0,,"R$0,00",24,"R$3.253,11",1017,"R$87,73",18181,"R$2,45",4,5,20,46,48,49,0,"R$0,00",13,"R$5.405,17",781,"R$114,24",16309,"R$2,73",Sim,"R$2.572.900,00","R$3.000.000,00","R$8.448.724,37",
2270,04/09/2021,1,9,23,32,36,47,0,,"R$0,00",15,"R$5.084,45",1045,"R$83,40",16958,"R$2,56",3,6,14,28,30,31,0,"R$0,00",20,"R$3.432,01",863,"R$100,99",16063,"R$2,71",Sim,"R$2.513.325,00","R$3.400.000,00","R$8.570.751,34",
2271,09/09/2021,9,10,15,21,33,40,0,,"R$0,00",19,"R$4.423,96",900,"R$106,73",17934,"R$2,67",3,18,19,25,27,38,0,"R$0,00",11,"R$6.877,25",1076,"R$89,27",20421,"R$2,35",Sim,"R$2.769.985,00","R$3.700.000,00","R$8.705.239,69",
2272,11/09/2021,14,15,28,33,44,46,1,NATAL/RN,"R$3.601.405,06",39,"R$1.770,55",982,"R$80,36",15789,"R$2,49",3,4,7,9,31,46,0,"R$0,00",14,"R$4.439,01",925,"R$85,31",17195,"R$2,29",Não,"R$2.275.540,00","R$250.000,00","R$8.815.721,74",
